Server SIMPLE
X 10
N 5000
M 10
D 20 .. 200, 20

Sort time:    Handle time:    Client time:
       179           184           242
       195           200           248
       166           169           235
       151           153           239
       155           155           259
       121           123           249
       121           123           269
       121           127           292
       101           101           285
       128           129           332
