Server NON_BLOCKING
X 10
N 5000
M 10
D 20 .. 200, 20

Sort time:    Handle time:    Client time:
       151           327           397
       151           338           401
       152           324           401
       151           305           404
       152           288           409
       151           266           405
       148           240           401
       156           242           418
       151           218           420
       152           203           422
