Server THREAD_POOL
X 10
N 5000
M 10 .. 100, 10
D 20

Sort time:    Handle time:    Client time:
       103           205           274
       100           443           506
       100           695           761
        99           906           980
       100          1169          1230
       100          1421          1482
       100          1653          1721
       100          1919          1985
       100          2126          2193
       100          2379          2451
