Server SIMPLE
X 10
N 5000
M 10 .. 100, 10
D 20

Sort time:    Handle time:    Client time:
       185           190           251
       392           417           500
       600           642           735
       743           821           982
      1039          1114          1241
      1055          1155          1451
      1145          1286          1655
      1411          1580          1829
      1374          1616          2119
      1529          1773          2378
